map	sentences	rate	ABC	P	Q	R	S
10.png	右手にサミットがあり、やや右斜め正面に本町があり、サミットからは少し離れる場所。	2.4	A	1	0	0	0
10.png	本町の大通りに面したところです。サミット、和光市立図書館があり、それらを通り過ぎて2本目の側道のあたりです。	2.971428571	A	0	0	1	0
10.png	本町にある和光市図書館があるサミットビル側の隣	2.4	A	0	0	0	1
10.png	ホンダから日産方向に進み日産の手前の角を曲がり、まっすぐダイソー方面に進み2つ目の十字路をサミット方向に曲がって2つ目の横道。	2.714285714	A	0	0	1	0
10.png	サミットに面する道路を左に進んで、左手にある2つ目の角を曲がって直ぐの所が目的地です。	3.114285714	A	0	0	1	0
10.png	左手にダイソーがある所から御岳榛名神社と反対方向に向かいます。大き目な十字路があるのでそれを左に曲がります。##左手にサミットが見えるのでサミットを超えた車が入れない通りの二つ目の左折地点を曲がったすぐの場所が目的地になります。	2.857142857	A	0	0	1	0
10.png	本町児童公園から、公園に面している大きな道路を右手に進む。6個目の角を右に曲がり大きな通りを進み、更に右手にある曲がり角の2つ目が目的地。	2.857142857	A	0	0	1	0
10.png	シーアイハイツ和光のサミットストア前の道路をサミットストアを左手に見ながら進むとストアの角からハイツ内に入る道路を左折してすぐに右折した後、3つ目の小道の前が●です。	2.857142857	A	0	0	1	0
10.png	埼玉県和光市本町。御嶽榛名神社から和光市図書館や100円ショップのダイソー方面を目指して進む。信号のある交差点を左に曲がりすすむ。小さなわき道を1つ目通過して2つ目の角。	2.857142857	A	0	0	1	0
10.png	シーアイハイツ和光の外周をぐるっと回っている道路のダイソーからサミット方面に道なりに進んでサミットを超えてすぐシーアイハイツ和光側	2.6	A	0	0	1	0
10.png	ダイソーから本町に向かって進み、交差点をサミットの方に曲がり、１つ目の角を曲がって進んだところ。	2.542857143	A	0	0	1	0
10.png	和光市図書館の入った複合施設が面する道路沿いにある舗装された土地である。一般道路ではない。その複合施設のすぐちかく。	2.085714286	A	0	0	0	1
10.png	私はサミット前の大通りにいます。はす向かいの本庁に向かってしばらく歩くと目的地が見えてきます。	2.542857143	A	0	0	1	0
10.png	この場所は、サミットや和光市図書館の本町側の大通りに、サミットや和光市図書館と同じ側に面しており、本町側から見てサミットや和光市図書館の右手側になります。	2.885714286	A	0	1	0	0
10.png	丸印地点から前方は大きな通りに面しており、背後にはシーアイハイツ和光があり、右手にはサミットストアがあります。	2.2	A	1	0	0	0
10.png	サミットと和光市図書館のビルがある道を本町児童公園方面に向かって歩いて2本目の道を入ったところ	2.857142857	A	0	0	1	0
10.png	本町にあるサミットとダイソーの交差点をサミットに沿って進むと2つ目の路地の角になります。	2.657142857	A	0	0	1	0
10.png	シーアイハイツ和光、本町側の道路沿い、サミットスーパーの左側。	2.685714286	A	0	0	0	1
10.png	サミットSの近く。サミットSの前の通り沿い	1.714285714	A	0	0	0	1
10.png	サミットの前の通りを左に進み、しばらく行った左側のところ。	2.057142857	A	0	0	1	0
10.png	和光市図書館の並び	1.457142857	A	0	0	0	1
10.png	サミットSと和光市図書館のある建物と本町の間の大通りを、奥のT字路に向かって2つ目の路地付近	2.971428571	A	0	0	1	0
10.png	サミット内の和光市図書館を左手に見て直進しそれを越えてから２つ目の交差点が目的地です。新町児童公園を右手に見てシーアハイツ和光を通り抜け道なりに直進しても同じです	2.8	A	0	0	1	0
10.png	サミットストアを左手に見て進み、二個目の角を左にまがる	2.885714286	A	0	0	1	0
10.png	太い道路で本町児童公園を右に見て歩き、公園の角を右に曲がり道なりに真っ直ぐ進み、太い道路に出た場所。##その場所から右に曲がって少し歩くと和光市図書館がある。る。	2.6	A	0	0	1	0
10.png	御岳榛名神社の前方でサミット，和光市図書館，商工会館，ダイソーの左側に位置する．	2.028571429	A	0	1	0	0
10.png	シーアハイツ和光内です。御岳榛名神社のある通りをダイソーに向かって進み、サミットの通りを左折、サミットを過ぎてすぐです。	2.6	A	0	0	1	1
10.png	サミットをシーアイハイムを左手に見ながら直進し、最初のT字路の角。	2.057142857	A	0	0	1	0
10.png	交差点からサミットを左に見ながら進みます。サミットを通りすぎ、左側の2本目の路地を左折してすぐの場所です。	3.457142857	A	0	0	1	0
10.png	本町から道路を挟んで反対側の細い通路の入り口の場所であって、その細い道をまっすぐ進んでいくとシーアイハイツ和光、左に曲がるとサミットSや和光市図書館がある場所	2.314285714	A	0	1	0	1
10.png	本当の方を背にしてサミットのある側の道に位置しています。サミットとダイソーのある方角を向いて本町児童公園側に位置しています。	2.057142857	A	0	0	0	1
10.png	大きな通りからシーアイハイツ和光に向かって伸びる道の上です。左手にサミットや和光図書館があります。	2.514285714	A	1	0	0	1
10.png	サミットSと和光市図書館を本町側に直進して、一番最初の十字路のところにあります。	2.142857143	A	0	0	1	0
10.png	シーアイハイツ和光を背にして前方と左側に広い道路が見え、右側にサミットや和光市図書館が見える。	2.057142857	A	1	0	0	0
10.png	和光市図書館のある角を和光図書館を左手に見ながら進み、その道の突き当りまでの距離の丁度中間地点くらいの左側の場所。	2.4	A	0	0	1	0
10.png	サミットを左手に見て、サミットから進んで左側二つ目の道を左折してすぐの場所にいます。	3.457142857	A	0	0	1	0
10.png	場所はスーパーサミットの通り沿いにあります。サミット裏手には、和光市図書館や商工会館があります。	2.285714286	A	0	0	0	1
10.png	和光市図書館前の道路を図書館を左手に見ながら進んだ先の最初の小道を入りすぐに右方向を行き3つ目の交差するところ	2.828571429	A	0	0	1	0
10.png	和光市図書館が接する通りを左側に進み、2番目の左側の路地を入ったすぐのところ。	2.485714286	A	0	0	1	0
10.png	サミットスーパーの建物を左に見てスーパーの建物の隣のシーアイハイツ和光の方にあるT字の交差点の2つ目の右側に目的地があります。	3.142857143	A	0	0	1	0
